0,1
Miss,Miss
A,Sweet
B,Bitter
A,Sweet
D,Bitter
C,Bitter
B,Bitter
E,Bitter
E,Bitter
D,Bitter
B,Sweet
C,Sweet
A,Sweet
D,Bitter
A,Sweet
F,Sweet
C,Bitter
C,Sweet
C,Sweet
E,Bitter
A,Sweet
B,Bitter
C,Bitter
Miss,Miss
F,Bitter
A,Sweet
D,Bitter
C,Bitter
F,Sweet
D,Bitter
A,Bitter
B,Bitter
C,Sweet
C,Sweet
E,Sweet
F,Sweet
A,Sweet
B,Bitter
A,Bitter
C,Sweet
A,Sweet
C,Sweet
A,Sweet
F,Bitter
A,Sweet
E,Sweet
A,Sweet
F,Sweet
D,Sweet
B,Sweet
D,Bitter
E,Sweet
E,Sweet
E,Sweet
Miss,Miss
F,Bitter
F,Bitter
D,Sweet
E,Sweet
F,Bitter
A,Bitter
E,Bitter
D,Bitter
C,Sweet
F,Sweet
B,Sweet
B,Bitter
A,Bitter
B,Bitter
B,Sweet
E,Bitter
F,Bitter
E,Sweet
D,Sweet
D,Bitter
B,Sweet
C,Sweet
C,Sweet
D,Bitter
A,Sweet
A,Sweet
B,Bitter
F,Bitter
C,Sweet
F,Bitter
B,Bitter
E,Bitter
D,Bitter
A,Sweet
A,Sweet
D,Bitter
C,Sweet
D,Bitter
A,Sweet
F,Sweet
C,Bitter
C,Sweet
D,Bitter
E,Sweet
B,Bitter
F,Bitter
B,Sweet
C,Bitter
A,Sweet
